 Cycle        E        err_E       a_r
         1         1.67658060         0.00035402         0.57271250
         2         1.69528253         0.00018842         0.56883750
         3         1.70167933         0.00008869         0.56820000
         4         1.70142890         0.00010629         0.56793750
         5         1.70350359         0.00009628         0.57151250
         6         1.70301640         0.00010319         0.56712500
         7         1.70315992         0.00006853         0.56720000
         8         1.70299675         0.00005839         0.56455000
         9         1.70420822         0.00007183         0.56986250
        10         1.70234895         0.00010570         0.56735000
        11         1.70376385         0.00011486         0.56661250
        12         1.70261591         0.00010675         0.57030000
        13         1.70238347         0.00012464         0.57350000
        14         1.70240027         0.00011965         0.57025000
        15         1.70335767         0.00006921         0.56902500
        16         1.70441881         0.00007844         0.56646250
        17         1.70380529         0.00010544         0.57045000
        18         1.70300945         0.00006762         0.56921250
        19         1.70274088         0.00005529         0.56767500
        20         1.70396313         0.00010183         0.57033750
