 Cycle        E        err_E       a_r
         1         1.68986852         0.00001112         0.53892400
         2         1.68934261         0.00000625         0.53795400
         3         1.68944861         0.00001073         0.53816900
         4         1.68943487         0.00000712         0.53810200
         5         1.68915533         0.00000728         0.53762700
         6         1.68920992         0.00000951         0.53861700
         7         1.68924894         0.00000753         0.53853800
         8         1.68930539         0.00001023         0.53766300
         9         1.68916808         0.00000695         0.53810400
        10         1.68911680         0.00001039         0.53809700
        11         1.68911589         0.00001470         0.53674800
        12         1.68936572         0.00000823         0.53723700
        13         1.68934249         0.00001169         0.53769500
        14         1.68952853         0.00001367         0.53876000
        15         1.68929161         0.00000739         0.53803500
        16         1.68925643         0.00000765         0.53782300
        17         1.68920152         0.00001145         0.53843600
        18         1.68905326         0.00000836         0.53723800
        19         1.68919397         0.00000553         0.53698400
        20         1.68922792         0.00001252         0.53863800
