 Cycle        E        err_E       a_r
         1         1.68161251         0.00020601         0.56106250
         2         1.69011202         0.00005160         0.55947500
         3         1.69153980         0.00006862         0.56122500
         4         1.69397001         0.00006347         0.55752500
         5         1.69421340         0.00003143         0.55738750
         6         1.69376606         0.00005628         0.55777500
         7         1.69450749         0.00006566         0.56068750
         8         1.69204485         0.00006940         0.55608750
         9         1.69325601         0.00005626         0.55636250
        10         1.69384654         0.00005083         0.55871250
        11         1.69482797         0.00007243         0.55876250
        12         1.69521455         0.00009938         0.55990000
        13         1.69432573         0.00005916         0.55582500
        14         1.69418602         0.00019808         0.56047500
        15         1.69240241         0.00011186         0.55885000
        16         1.69415849         0.00004959         0.55988750
        17         1.69346589         0.00007618         0.56001250
        18         1.69541747         0.00007551         0.56130000
        19         1.69326068         0.00006060         0.55875000
        20         1.69282263         0.00005870         0.56142500
