 Cycle        E        err_E       a_r
         1         1.68871782         0.00000400         0.54246600
         2         1.68849641         0.00000493         0.54177900
         3         1.68848083         0.00000340         0.54216000
         4         1.68839749         0.00000376         0.54164600
         5         1.68856241         0.00000227         0.54228900
         6         1.68853070         0.00000569         0.54238600
         7         1.68848131         0.00000482         0.54277600
         8         1.68849236         0.00000695         0.54216100
         9         1.68836739         0.00000442         0.54187500
        10         1.68850863         0.00000602         0.54267300
        11         1.68850333         0.00000408         0.54205900
        12         1.68849205         0.00000448         0.54211200
        13         1.68850503         0.00001681         0.54247600
        14         1.68857551         0.00000487         0.54273500
        15         1.68842302         0.00000722         0.54282400
        16         1.68843050         0.00000277         0.54171300
        17         1.68833717         0.00000307         0.54138300
        18         1.68844008         0.00000342         0.54249000
        19         1.68857183         0.00000538         0.54195000
        20         1.68852621         0.00000905         0.54214300
