 Cycle        E        err_E       a_r
         1         1.69376129         0.00004116         0.53931250
         2         1.69161210         0.00004171         0.53425000
         3         1.69103996         0.00004262         0.53253750
         4         1.69104922         0.00005579         0.53497500
         5         1.69102615         0.00003859         0.53427500
         6         1.69009782         0.00004413         0.53292500
         7         1.69106629         0.00003925         0.53666250
         8         1.69121425         0.00004520         0.53413750
         9         1.69072501         0.00005536         0.53386250
        10         1.69215982         0.00002527         0.53832500
        11         1.69087054         0.00004435         0.53580000
        12         1.69057869         0.00002176         0.53517500
        13         1.69112116         0.00003947         0.53437500
        14         1.69147833         0.00004493         0.53586250
        15         1.69152634         0.00002561         0.53616250
        16         1.69093738         0.00003418         0.53306250
        17         1.69020293         0.00004065         0.53606250
        18         1.69013386         0.00004705         0.53577500
        19         1.69031200         0.00003735         0.53590000
        20         1.68985750         0.00005127         0.53200000
