 Cycle        E        err_E       a_r
         1         1.78436277         0.00911879         0.74497500
         2         2.18534196         0.00238262         0.70260000
         3         2.27686137         0.00063934         0.69652500
         4         2.28381268         0.00084954         0.69982500
         5         2.29315644         0.00070579         0.69492500
         6         2.29826724         0.00066638         0.69647500
         7         2.29627709         0.00070924         0.69132500
         8         2.30640173         0.00052557         0.69235000
         9         2.30736768         0.00095193         0.69052500
        10         2.31180703         0.00118762         0.69152500
        11         2.30721471         0.00110776         0.69407500
        12         2.28083626         0.00090435         0.69380000
        13         2.30471146         0.00086168         0.69512500
        14         2.31398688         0.00124977         0.69180000
        15         2.31327030         0.00085203         0.68955000
        16         2.29957180         0.00073669         0.69520000
        17         2.30204666         0.00068147         0.69210000
        18         2.29952555         0.00087395         0.68865000
        19         2.28638461         0.00106175         0.69250000
        20         2.27866525         0.00070276         0.69235000
