 Cycle        E        err_E       a_r
         1         1.68627651         0.00304044         0.64232500
         2         1.81025789         0.00068689         0.62755000
         3         1.84795258         0.00054372         0.62927500
         4         1.85558413         0.00034117         0.62635000
         5         1.85208038         0.00044568         0.62640000
         6         1.85601148         0.00054973         0.62392500
         7         1.86137519         0.00041066         0.62345000
         8         1.86114290         0.00035826         0.62445000
         9         1.85823358         0.00031423         0.62917500
        10         1.85577415         0.00046360         0.62405000
        11         1.85921604         0.00037124         0.62540000
        12         1.85544255         0.00037724         0.62745000
        13         1.85319194         0.00048560         0.62740000
        14         1.85438371         0.00062616         0.62792500
        15         1.84976226         0.00034343         0.62745000
        16         1.86107664         0.00052342         0.62057500
        17         1.85061992         0.00045599         0.62660000
        18         1.84432366         0.00052064         0.62567500
        19         1.85142837         0.00036578         0.62882500
        20         1.85011274         0.00030930         0.62402500
