 Cycle        E        err_E       a_r
         1         1.68814552         0.00001356         0.54923300
         2         1.68888236         0.00000555         0.54867300
         3         1.68892184         0.00000659         0.54888100
         4         1.68891982         0.00000543         0.54839200
         5         1.68899830         0.00000613         0.54977600
         6         1.68898224         0.00001051         0.54826900
         7         1.68882405         0.00000845         0.54899600
         8         1.68882864         0.00001005         0.55001000
         9         1.68899704         0.00000454         0.54886100
        10         1.68884838         0.00000664         0.54776900
        11         1.68890498         0.00000503         0.54824900
        12         1.68896461         0.00001530         0.54866000
        13         1.68890192         0.00000528         0.54891200
        14         1.68897744         0.00001062         0.54888200
        15         1.68911156         0.00000976         0.54904800
        16         1.68895296         0.00001250         0.54874800
        17         1.68887162         0.00001216         0.54876300
        18         1.68875100         0.00000762         0.54875500
        19         1.68904538         0.00001080         0.54929900
        20         1.68903909         0.00000959         0.54842200
