 Cycle        E        err_E       a_r
         1         1.68991220         0.00003629         0.54191250
         2         1.68910466         0.00002034         0.53707500
         3         1.68845213         0.00001269         0.53863750
         4         1.68858681         0.00001573         0.53955000
         5         1.68868102         0.00002200         0.54326250
         6         1.68844807         0.00001073         0.53942500
         7         1.68859024         0.00001252         0.54506250
         8         1.68827880         0.00002643         0.54186250
         9         1.68854332         0.00001779         0.54100000
        10         1.68877226         0.00002162         0.54268750
        11         1.68830690         0.00001747         0.54260000
        12         1.68809099         0.00001419         0.54262500
        13         1.68830378         0.00003657         0.54106250
        14         1.68863641         0.00001185         0.54240000
        15         1.68879883         0.00002455         0.54071250
        16         1.68844533         0.00001541         0.53510000
        17         1.68872711         0.00001896         0.54352500
        18         1.68854605         0.00002121         0.53917500
        19         1.68813459         0.00001443         0.54197500
        20         1.68854181         0.00001571         0.53847500
