 Cycle        E        err_E       a_r
         1         1.68817009         0.00000324         0.54484300
         2         1.68830368         0.00000252         0.54476300
         3         1.68826693         0.00000504         0.54457100
         4         1.68826094         0.00000404         0.54533800
         5         1.68831217         0.00000378         0.54531000
         6         1.68830626         0.00000340         0.54444100
         7         1.68840026         0.00000182         0.54487000
         8         1.68829618         0.00000429         0.54360100
         9         1.68829333         0.00000311         0.54532800
        10         1.68828183         0.00000165         0.54448900
        11         1.68836774         0.00000482         0.54525200
        12         1.68847473         0.00000565         0.54439200
        13         1.68817887         0.00000552         0.54433400
        14         1.68833233         0.00000355         0.54460500
        15         1.68837620         0.00000278         0.54498000
        16         1.68841878         0.00000155         0.54402800
        17         1.68838456         0.00000423         0.54397200
        18         1.68832760         0.00000307         0.54458400
        19         1.68837558         0.00000228         0.54468100
        20         1.68840176         0.00000374         0.54511000
