 Cycle        E        err_E       a_r
         1         1.69570277         0.00007834         0.54207500
         2         1.69617977         0.00003550         0.53647500
         3         1.69655889         0.00009935         0.53450000
         4         1.69539338         0.00006647         0.53675000
         5         1.69555834         0.00011782         0.53282500
         6         1.69422405         0.00011754         0.53752500
         7         1.69542278         0.00008981         0.53750000
         8         1.69411360         0.00009372         0.53317500
         9         1.69359365         0.00013973         0.53690000
        10         1.69389335         0.00009282         0.53227500
        11         1.69548849         0.00009585         0.53842500
        12         1.69402051         0.00009839         0.53882500
        13         1.69466413         0.00007270         0.53502500
        14         1.69385598         0.00015432         0.54090000
        15         1.69175647         0.00007230         0.53637500
        16         1.69427369         0.00012138         0.53402500
        17         1.69418143         0.00008626         0.53757500
        18         1.69298093         0.00008182         0.54025000
        19         1.69268864         0.00011585         0.53437500
        20         1.69389429         0.00012986         0.53242500
