 Cycle        E        err_E       a_r
         1         1.69093927         0.00001581         0.53647900
         2         1.69009246         0.00001015         0.53666200
         3         1.69046498         0.00001528         0.53609500
         4         1.69022550         0.00001362         0.53583400
         5         1.69027398         0.00001567         0.53591500
         6         1.69013684         0.00001403         0.53631100
         7         1.69008882         0.00001295         0.53606200
         8         1.69022997         0.00001596         0.53681000
         9         1.69025657         0.00000994         0.53634700
        10         1.69021335         0.00001633         0.53603000
        11         1.69004626         0.00001318         0.53693000
        12         1.69015215         0.00000849         0.53546800
        13         1.69058417         0.00000643         0.53727300
        14         1.69042156         0.00001350         0.53644600
        15         1.69006409         0.00001435         0.53560800
        16         1.69026069         0.00001361         0.53618900
        17         1.68999949         0.00001832         0.53591300
        18         1.69028278         0.00001223         0.53676500
        19         1.68989908         0.00001471         0.53529000
        20         1.68990030         0.00001511         0.53593500
