 Cycle        E        err_E       a_r
         1         1.67447504         0.00184263         0.61670000
         2         1.75225104         0.00044944         0.60730000
         3         1.76535062         0.00039981         0.60362500
         4         1.77368452         0.00024402         0.60397500
         5         1.77269561         0.00044152         0.60650000
         6         1.76593534         0.00048041         0.60395000
         7         1.76712520         0.00035503         0.60575000
         8         1.76792326         0.00039348         0.60507500
         9         1.76371064         0.00021637         0.60640000
        10         1.76876609         0.00039368         0.60365000
        11         1.77476372         0.00028342         0.60155000
        12         1.77284668         0.00024010         0.60437500
        13         1.77193450         0.00025410         0.60432500
        14         1.77129635         0.00033843         0.60140000
        15         1.76628431         0.00037340         0.60017500
        16         1.77020628         0.00022824         0.60317500
        17         1.77078048         0.00025694         0.60197500
        18         1.76901931         0.00035961         0.60612500
        19         1.77269742         0.00030580         0.60382500
        20         1.77135332         0.00033336         0.60400000
