 Cycle        E        err_E       a_r
         1         1.68824975         0.00000494         0.54910400
         2         1.68873379         0.00000952         0.54831500
         3         1.68871594         0.00000423         0.54833000
         4         1.68856859         0.00000795         0.54789700
         5         1.68864723         0.00000811         0.54801100
         6         1.68866676         0.00000848         0.54805300
         7         1.68859141         0.00000529         0.54761200
         8         1.68868124         0.00000730         0.54695800
         9         1.68865300         0.00000566         0.54746400
        10         1.68853181         0.00000494         0.54711400
        11         1.68863820         0.00000300         0.54883200
        12         1.68871585         0.00000536         0.54786600
        13         1.68861591         0.00000705         0.54762400
        14         1.68876295         0.00000753         0.54800400
        15         1.68868094         0.00000899         0.54782500
        16         1.68857984         0.00000568         0.54702300
        17         1.68868479         0.00000569         0.54813200
        18         1.68844958         0.00000755         0.54880800
        19         1.68865793         0.00000972         0.54804800
        20         1.68876750         0.00000533         0.54852700
