 Cycle        E        err_E       a_r
         1         1.68800779         0.00000595         0.54823600
         2         1.68878100         0.00000445         0.54811700
         3         1.68866312         0.00001033         0.54778600
         4         1.68876729         0.00000746         0.54847000
         5         1.68863233         0.00000870         0.54745700
         6         1.68867117         0.00000806         0.54750900
         7         1.68870258         0.00000537         0.54756300
         8         1.68877636         0.00000879         0.54795500
         9         1.68863839         0.00000911         0.54857300
        10         1.68874373         0.00000514         0.54830200
        11         1.68887415         0.00000654         0.54767900
        12         1.68862469         0.00000768         0.54783100
        13         1.68863737         0.00000419         0.54771700
        14         1.68793895         0.00001389         0.54852100
        15         1.68879824         0.00000690         0.54816000
        16         1.68875029         0.00000614         0.54670000
        17         1.68871557         0.00000890         0.54650700
        18         1.68858323         0.00000751         0.54664800
        19         1.68856932         0.00001290         0.54798700
        20         1.68880883         0.00000654         0.54790100
