 Cycle        E        err_E       a_r
         1         1.69093146         0.00001977         0.53664600
         2         1.69011276         0.00000742         0.53562400
         3         1.69028156         0.00000994         0.53553700
         4         1.69012347         0.00001902         0.53626900
         5         1.68972080         0.00001457         0.53585400
         6         1.69002216         0.00001514         0.53594400
         7         1.69027719         0.00001153         0.53593400
         8         1.69002491         0.00001354         0.53593400
         9         1.68995434         0.00001429         0.53548200
        10         1.69014965         0.00001180         0.53576100
        11         1.69001006         0.00001054         0.53563700
        12         1.69023858         0.00001311         0.53596800
        13         1.68957967         0.00001442         0.53598600
        14         1.68996238         0.00000612         0.53529100
        15         1.68979898         0.00000717         0.53581800
        16         1.69018607         0.00001354         0.53648700
        17         1.68993870         0.00000973         0.53577500
        18         1.68993009         0.00000976         0.53598100
        19         1.69020438         0.00000960         0.53504600
        20         1.68991464         0.00001860         0.53640200
