 Cycle        E        err_E       a_r
         1         1.68927583         0.00001364         0.53991300
         2         1.68888596         0.00001065         0.53892900
         3         1.68910133         0.00000843         0.53881200
         4         1.68904572         0.00000842         0.53864400
         5         1.68895028         0.00000900         0.53849000
         6         1.68888644         0.00000850         0.53726000
         7         1.68903042         0.00001122         0.53757700
         8         1.68908577         0.00000927         0.53818500
         9         1.68904661         0.00000967         0.53876700
        10         1.68894869         0.00001423         0.53958900
        11         1.68916861         0.00000686         0.53970600
        12         1.68904051         0.00000760         0.53869300
        13         1.68902615         0.00000722         0.53891700
        14         1.68895665         0.00000820         0.53833300
        15         1.68889899         0.00000717         0.53773500
        16         1.68889350         0.00001631         0.53747200
        17         1.68893154         0.00000859         0.53866000
        18         1.68892803         0.00000619         0.53900300
        19         1.68899126         0.00000824         0.53902200
        20         1.68886249         0.00000680         0.53829000
