 Cycle        E        err_E       a_r
         1         1.68880080         0.00000748         0.54130000
         2         1.68841377         0.00000865         0.54122300
         3         1.68843054         0.00000909         0.54082800
         4         1.68856225         0.00000607         0.54022800
         5         1.68859944         0.00000664         0.54106200
         6         1.68841685         0.00000568         0.54060900
         7         1.68863198         0.00000534         0.54111100
         8         1.68846680         0.00000617         0.54097300
         9         1.68858058         0.00001076         0.54014300
        10         1.68873473         0.00000433         0.54031900
        11         1.68867102         0.00000516         0.54106300
        12         1.68853050         0.00000547         0.54089000
        13         1.68856596         0.00000396         0.54105300
        14         1.68859434         0.00000469         0.53962000
        15         1.68866688         0.00000686         0.54106900
        16         1.68858001         0.00000473         0.54061700
        17         1.68861765         0.00000586         0.54150600
        18         1.68864139         0.00000446         0.54006200
        19         1.68856664         0.00000653         0.54116500
        20         1.68871431         0.00000669         0.54060900
