 Cycle        E        err_E       a_r
         1         1.67835282         0.00073454         0.57596250
         2         1.70892817         0.00016272         0.57453750
         3         1.71311128         0.00008816         0.57238750
         4         1.71405552         0.00010948         0.57132500
         5         1.71540235         0.00011703         0.57673750
         6         1.71461862         0.00012104         0.57465000
         7         1.71312586         0.00011384         0.57317500
         8         1.71475131         0.00009913         0.57427500
         9         1.71589017         0.00015003         0.57513750
        10         1.71614972         0.00020544         0.57518750
        11         1.71081464         0.00014236         0.57730000
        12         1.71430960         0.00010094         0.57533750
        13         1.71544018         0.00019081         0.57396250
        14         1.71582542         0.00012239         0.57218750
        15         1.71551831         0.00010260         0.57593750
        16         1.71692432         0.00010340         0.57626250
        17         1.71277579         0.00007166         0.57556250
        18         1.71014287         0.00012575         0.57471250
        19         1.71446674         0.00015281         0.57275000
        20         1.71425584         0.00008049         0.57377500
