 Cycle        E        err_E       a_r
         1         1.68950946         0.00000939         0.53891500
         2         1.68927768         0.00000754         0.53940700
         3         1.68903197         0.00000909         0.53863300
         4         1.68891198         0.00000493         0.53864900
         5         1.68911839         0.00001337         0.53914100
         6         1.68911374         0.00001216         0.53837200
         7         1.68916108         0.00000392         0.53928800
         8         1.68913260         0.00000799         0.53913400
         9         1.68905708         0.00000623         0.53867400
        10         1.68932740         0.00000702         0.53884300
        11         1.68904655         0.00000999         0.53875900
        12         1.68888703         0.00001034         0.53932300
        13         1.68923775         0.00000694         0.54023500
        14         1.68913169         0.00001316         0.53905800
        15         1.68914685         0.00001058         0.53822900
        16         1.68918982         0.00001267         0.53908500
        17         1.68935192         0.00000970         0.53873600
        18         1.68898572         0.00000589         0.53915700
        19         1.68920360         0.00001089         0.53797500
        20         1.68897638         0.00000464         0.53993900
