 Cycle        E        err_E       a_r
         1         1.68957455         0.00001325         0.53934400
         2         1.68892986         0.00000626         0.54013400
         3         1.68862040         0.00001105         0.53989300
         4         1.68894720         0.00000522         0.53955100
         5         1.68890683         0.00000887         0.53971900
         6         1.68894394         0.00000666         0.53836000
         7         1.68893665         0.00000924         0.53910900
         8         1.68911851         0.00001244         0.54000900
         9         1.68894333         0.00001622         0.53973700
        10         1.68922902         0.00000996         0.53940100
        11         1.68905821         0.00000951         0.53885000
        12         1.68881688         0.00000986         0.53933600
        13         1.68895736         0.00000828         0.53957500
        14         1.68898623         0.00000643         0.53901900
        15         1.68898185         0.00001168         0.53981400
        16         1.68912229         0.00001112         0.53947300
        17         1.68892533         0.00000602         0.53930800
        18         1.68904425         0.00000709         0.53925200
        19         1.68894389         0.00000486         0.53854100
        20         1.68904320         0.00000612         0.53894300
