 Cycle        E        err_E       a_r
         1         1.68804078         0.00001725         0.54920700
         2         1.68885515         0.00000508         0.54973500
         3         1.68918791         0.00001144         0.54949100
         4         1.68894595         0.00000700         0.54944800
         5         1.68912829         0.00000694         0.54995900
         6         1.68901891         0.00000556         0.54913200
         7         1.68915789         0.00000832         0.54856400
         8         1.68900276         0.00000758         0.54983800
         9         1.68883750         0.00001016         0.54902000
        10         1.68895018         0.00000679         0.54884300
        11         1.68884574         0.00000954         0.54965300
        12         1.68902579         0.00000862         0.54961200
        13         1.68884043         0.00000852         0.54938800
        14         1.68890635         0.00000526         0.54923200
        15         1.68900751         0.00000834         0.54966400
        16         1.68897283         0.00000686         0.54940300
        17         1.68886913         0.00001076         0.54894300
        18         1.68895701         0.00000872         0.54970200
        19         1.68909966         0.00000851         0.54966200
        20         1.68887291         0.00000503         0.54957600
