 Cycle        E        err_E       a_r
         1         1.68836213         0.00002474         0.55330200
         2         1.69015139         0.00000700         0.55108600
         3         1.68983693         0.00001042         0.55112900
         4         1.68959106         0.00001485         0.55153400
         5         1.69017243         0.00001072         0.55092300
         6         1.68995677         0.00000942         0.55046300
         7         1.68978286         0.00001825         0.55063900
         8         1.68983970         0.00000870         0.55183500
         9         1.68995776         0.00001676         0.55240500
        10         1.68983439         0.00001244         0.55139100
        11         1.68989812         0.00001777         0.55179300
        12         1.68997732         0.00001741         0.55133000
        13         1.68995613         0.00001147         0.55151800
        14         1.68994368         0.00001252         0.55151400
        15         1.69024872         0.00001696         0.55222100
        16         1.69013963         0.00001115         0.55183300
        17         1.68998157         0.00000726         0.55182400
        18         1.69003698         0.00002218         0.55152000
        19         1.69004098         0.00001437         0.55208700
        20         1.69019247         0.00001998         0.55114000
