 Cycle        E        err_E       a_r
         1         1.68820284         0.00000502         0.54466200
         2         1.68831767         0.00000569         0.54441200
         3         1.68828979         0.00000496         0.54433600
         4         1.68837344         0.00000682         0.54446600
         5         1.68836153         0.00000377         0.54478100
         6         1.68828612         0.00000340         0.54382100
         7         1.68831524         0.00000304         0.54387100
         8         1.68834627         0.00000285         0.54390100
         9         1.68830793         0.00000427         0.54406800
        10         1.68834042         0.00000309         0.54380400
        11         1.68828755         0.00000281         0.54407000
        12         1.68830233         0.00000229         0.54401500
        13         1.68828995         0.00000710         0.54353600
        14         1.68830752         0.00000204         0.54442200
        15         1.68836843         0.00000243         0.54453400
        16         1.68837203         0.00000403         0.54415600
        17         1.68831936         0.00000320         0.54450400
        18         1.68831365         0.00000226         0.54389800
        19         1.68833416         0.00000435         0.54380400
        20         1.68836389         0.00000227         0.54391200
