 Cycle        E        err_E       a_r
         1         1.68031766         0.00033962         0.56917500
         2         1.69430399         0.00007739         0.56083750
         3         1.69747683         0.00008381         0.56662500
         4         1.70156517         0.00007518         0.56390000
         5         1.70123923         0.00006979         0.56110000
         6         1.70001600         0.00006513         0.56300000
         7         1.70008547         0.00008022         0.56351250
         8         1.70128197         0.00006133         0.56441250
         9         1.70126810         0.00004681         0.57032500
        10         1.70022765         0.00011281         0.56661250
        11         1.69714489         0.00007870         0.56693750
        12         1.69752206         0.00006111         0.56260000
        13         1.69844847         0.00007769         0.56592500
        14         1.69965341         0.00007580         0.56330000
        15         1.69763976         0.00010314         0.56482500
        16         1.69567338         0.00002679         0.56627500
        17         1.69694925         0.00009516         0.56352500
        18         1.69987372         0.00013162         0.56342500
        19         1.69925952         0.00005790         0.56186250
        20         1.69925590         0.00008598         0.56453750
