 Cycle        E        err_E       a_r
         1         1.68832713         0.00002354         0.55189600
         2         1.68958271         0.00001130         0.55053500
         3         1.68941896         0.00000644         0.54958600
         4         1.68958849         0.00001152         0.55092400
         5         1.68970700         0.00000917         0.55099500
         6         1.68930842         0.00001074         0.55088200
         7         1.68936953         0.00000768         0.55089600
         8         1.68922660         0.00000762         0.55121400
         9         1.68950841         0.00001348         0.55118800
        10         1.68954318         0.00001549         0.55111500
        11         1.68949575         0.00001217         0.55120100
        12         1.68948890         0.00001327         0.55028800
        13         1.68959939         0.00001316         0.55105700
        14         1.68956476         0.00001268         0.55043100
        15         1.68966295         0.00000791         0.55020400
        16         1.68959483         0.00000447         0.55126100
        17         1.68978738         0.00000803         0.55073500
        18         1.68927670         0.00000801         0.55111300
        19         1.68937715         0.00000784         0.55037500
        20         1.68950308         0.00001484         0.55023400
