 Cycle        E        err_E       a_r
         1         1.68897573         0.00001714         0.54352500
         2         1.68839124         0.00001868         0.54380000
         3         1.68873982         0.00002026         0.54421250
         4         1.68863932         0.00005185         0.54033750
         5         1.68817830         0.00002130         0.54412500
         6         1.68804096         0.00001300         0.54670000
         7         1.68794541         0.00002320         0.54215000
         8         1.68829752         0.00001620         0.54480000
         9         1.68831450         0.00001588         0.54231250
        10         1.68847758         0.00002574         0.54445000
        11         1.68833269         0.00002185         0.54563750
        12         1.68837128         0.00001168         0.54162500
        13         1.68871079         0.00001789         0.54363750
        14         1.68857927         0.00002032         0.54643750
        15         1.68849409         0.00001106         0.53972500
        16         1.68841905         0.00001661         0.54373750
        17         1.68787883         0.00001197         0.54470000
        18         1.68845736         0.00001829         0.54240000
        19         1.68864507         0.00001123         0.54362500
        20         1.68842754         0.00001235         0.53962500
