 Cycle        E        err_E       a_r
         1         1.68990573         0.00001543         0.53851000
         2         1.68948324         0.00001068         0.53744500
         3         1.68950772         0.00000495         0.53846600
         4         1.68945098         0.00000656         0.53755300
         5         1.68930175         0.00000696         0.53791200
         6         1.68950177         0.00000592         0.53694700
         7         1.68953743         0.00001345         0.53766800
         8         1.68942716         0.00001011         0.53694900
         9         1.68959701         0.00000984         0.53815400
        10         1.68946510         0.00000593         0.53720200
        11         1.68974579         0.00000818         0.53745300
        12         1.68946321         0.00001087         0.53762800
        13         1.68925854         0.00001027         0.53770300
        14         1.68909471         0.00001585         0.53767600
        15         1.68951721         0.00001044         0.53768600
        16         1.68942986         0.00001491         0.53761700
        17         1.68933543         0.00001257         0.53627700
        18         1.68928100         0.00001242         0.53769500
        19         1.68938278         0.00000966         0.53787800
        20         1.68942376         0.00000825         0.53756600
