 Cycle        E        err_E       a_r
         1         1.68828613         0.00001945         0.55024100
         2         1.68959263         0.00001284         0.55001300
         3         1.68909257         0.00001327         0.54889500
         4         1.68973607         0.00001151         0.54934700
         5         1.68931995         0.00001400         0.54934600
         6         1.68975378         0.00001408         0.55030000
         7         1.68937456         0.00001881         0.55016800
         8         1.68912661         0.00001137         0.55054800
         9         1.68928530         0.00000930         0.54995000
        10         1.68941540         0.00000667         0.55042800
        11         1.68922426         0.00000987         0.54952600
        12         1.68940777         0.00000969         0.54995800
        13         1.68945151         0.00000804         0.55066500
        14         1.68943838         0.00001233         0.54888200
        15         1.69036356         0.00004575         0.54906700
        16         1.68949861         0.00001250         0.54971100
        17         1.68960889         0.00001144         0.54946000
        18         1.68933251         0.00000594         0.54979600
        19         1.68948599         0.00000712         0.54989600
        20         1.68948275         0.00001110         0.54968900
