 Cycle        E        err_E       a_r
         1         1.69000099         0.00000971         0.53811100
         2         1.68949782         0.00001141         0.53835500
         3         1.68914722         0.00000823         0.53812600
         4         1.68925682         0.00001051         0.53784300
         5         1.68918521         0.00000911         0.53779800
         6         1.68916576         0.00000882         0.53738600
         7         1.68945474         0.00000858         0.53880900
         8         1.68963132         0.00001093         0.53834200
         9         1.68921142         0.00001661         0.53854700
        10         1.68918338         0.00000852         0.53855000
        11         1.68917244         0.00001326         0.53763600
        12         1.68941168         0.00000707         0.53792400
        13         1.68931722         0.00001067         0.53851500
        14         1.68935423         0.00000870         0.53767100
        15         1.68943025         0.00001072         0.53773400
        16         1.68927790         0.00000770         0.53762500
        17         1.68949256         0.00000965         0.53830500
        18         1.68947375         0.00000841         0.53862100
        19         1.68930198         0.00000838         0.53843000
        20         1.68935244         0.00002687         0.53777100
