 Cycle        E        err_E       a_r
         1         1.69420304         0.00007963         0.54017500
         2         1.69332714         0.00006269         0.53750000
         3         1.69298431         0.00009005         0.53707500
         4         1.69105151         0.00007679         0.54140000
         5         1.69077168         0.00011364         0.53747500
         6         1.69147226         0.00009193         0.53872500
         7         1.68996377         0.00009782         0.53942500
         8         1.69114332         0.00008818         0.53295000
         9         1.69068648         0.00005850         0.53982500
        10         1.68939173         0.00006492         0.53567500
        11         1.69030352         0.00010542         0.53500000
        12         1.69185806         0.00013756         0.54047500
        13         1.69220546         0.00007724         0.53932500
        14         1.69229592         0.00007824         0.53600000
        15         1.69062927         0.00007611         0.53972500
        16         1.69103497         0.00007505         0.53640000
        17         1.69142249         0.00008478         0.53580000
        18         1.69216878         0.00006608         0.53912500
        19         1.69109468         0.00006991         0.53802500
        20         1.69321913         0.00006957         0.53462500
