 Cycle        E        err_E       a_r
         1         1.69638050         0.00011640         0.52455000
         2         1.69690957         0.00007306         0.52895000
         3         1.69896474         0.00011553         0.52092500
         4         1.69892184         0.00017479         0.52730000
         5         1.69870858         0.00005207         0.52420000
         6         1.70073412         0.00010995         0.52992500
         7         1.69993673         0.00018242         0.52825000
         8         1.70059891         0.00006118         0.52552500
         9         1.69900749         0.00010386         0.53137500
        10         1.69890627         0.00010516         0.52630000
        11         1.70067704         0.00006581         0.52322500
        12         1.70017889         0.00011516         0.52860000
        13         1.69837570         0.00011994         0.52367500
        14         1.70003125         0.00010832         0.52630000
        15         1.69919934         0.00006419         0.51960000
        16         1.69926890         0.00012183         0.52662500
        17         1.70036246         0.00018066         0.52970000
        18         1.69986116         0.00011603         0.52367500
        19         1.69840090         0.00015193         0.52105000
        20         1.69628280         0.00012064         0.52830000
