 Cycle        E        err_E       a_r
         1         1.68812493         0.00000602         0.54730000
         2         1.68841443         0.00000315         0.54642500
         3         1.68844183         0.00000503         0.54625000
         4         1.68837606         0.00000373         0.54653900
         5         1.68844048         0.00000385         0.54747100
         6         1.68821570         0.00000644         0.54687700
         7         1.68837603         0.00000524         0.54681800
         8         1.68846734         0.00000505         0.54676600
         9         1.68847771         0.00000303         0.54630300
        10         1.68846032         0.00000534         0.54726900
        11         1.68845154         0.00000461         0.54648900
        12         1.68845812         0.00000338         0.54573100
        13         1.68847088         0.00000243         0.54689600
        14         1.68853224         0.00000359         0.54619900
        15         1.68850305         0.00000513         0.54665100
        16         1.68854612         0.00000340         0.54562800
        17         1.68857280         0.00001016         0.54707300
        18         1.68846516         0.00000487         0.54754600
        19         1.68844324         0.00000382         0.54707200
        20         1.68850400         0.00000599         0.54568300
