 Cycle        E        err_E       a_r
         1         1.68811111         0.00000425         0.54636800
         2         1.68839993         0.00000194         0.54433300
         3         1.68834957         0.00000331         0.54445900
         4         1.68839635         0.00000244         0.54531800
         5         1.68837654         0.00000223         0.54566200
         6         1.68834524         0.00000390         0.54579300
         7         1.68831409         0.00000442         0.54460800
         8         1.68843095         0.00000327         0.54524600
         9         1.68836462         0.00000257         0.54560100
        10         1.68835020         0.00000226         0.54493500
        11         1.68835466         0.00000291         0.54522500
        12         1.68837728         0.00000557         0.54475900
        13         1.68834008         0.00000396         0.54555500
        14         1.68831341         0.00000386         0.54639000
        15         1.68833819         0.00000623         0.54574200
        16         1.68829670         0.00000226         0.54554300
        17         1.68835334         0.00000381         0.54585800
        18         1.68838525         0.00001864         0.54565400
        19         1.68843709         0.00000292         0.54553000
        20         1.68839441         0.00000259         0.54536500
