 Cycle        E        err_E       a_r
         1         1.69049295         0.00002460         0.54388750
         2         1.68944552         0.00001473         0.54248750
         3         1.68839095         0.00001863         0.53910000
         4         1.68860431         0.00002082         0.53920000
         5         1.68885196         0.00002139         0.54355000
         6         1.68928236         0.00005314         0.54137500
         7         1.68873781         0.00001848         0.54476250
         8         1.68889276         0.00002074         0.54185000
         9         1.68904314         0.00001938         0.53986250
        10         1.68878062         0.00001785         0.54465000
        11         1.68865684         0.00002200         0.54266250
        12         1.68921270         0.00002242         0.54152500
        13         1.68901068         0.00001477         0.54116250
        14         1.68867615         0.00003559         0.54240000
        15         1.68869820         0.00002276         0.53883750
        16         1.68860274         0.00003511         0.53965000
        17         1.68890637         0.00002574         0.54223750
        18         1.68890874         0.00002435         0.54043750
        19         1.68920474         0.00003477         0.53842500
        20         1.68866583         0.00003055         0.54280000
