 Cycle        E        err_E       a_r
         1         1.67442495         0.00163716         0.60782500
         2         1.73629409         0.00042193         0.60135000
         3         1.74534493         0.00052393         0.59672500
         4         1.75549077         0.00023194         0.59477500
         5         1.75204410         0.00039767         0.59762500
         6         1.75169536         0.00030237         0.59642500
         7         1.75358009         0.00049570         0.59860000
         8         1.75383741         0.00032285         0.59682500
         9         1.74877142         0.00035240         0.60187500
        10         1.75077188         0.00038329         0.59647500
        11         1.75387488         0.00040314         0.59530000
        12         1.75052809         0.00033285         0.59947500
        13         1.74902395         0.00024239         0.59542500
        14         1.75262482         0.00030917         0.59787500
        15         1.74915865         0.00029934         0.59707500
        16         1.75810096         0.00023880         0.59760000
        17         1.75615174         0.00030275         0.59830000
        18         1.75665088         0.00028847         0.59492500
        19         1.75484916         0.00024955         0.59622500
        20         1.74591420         0.00031815         0.59705000
