 Cycle        E        err_E       a_r
         1         1.68177896         0.00020801         0.56060000
         2         1.69148161         0.00006421         0.55743750
         3         1.69327496         0.00006065         0.56220000
         4         1.69374831         0.00005014         0.55816250
         5         1.69508413         0.00007046         0.55606250
         6         1.69493586         0.00005284         0.55865000
         7         1.69461673         0.00005810         0.55345000
         8         1.69463734         0.00008342         0.55810000
         9         1.69396428         0.00007526         0.55922500
        10         1.69255516         0.00003942         0.55862500
        11         1.69387367         0.00010512         0.55950000
        12         1.69644672         0.00004367         0.55773750
        13         1.69435715         0.00007808         0.55833750
        14         1.69216420         0.00009066         0.55785000
        15         1.69346757         0.00004495         0.55827500
        16         1.69194292         0.00005567         0.56020000
        17         1.69146995         0.00006027         0.55801250
        18         1.69295682         0.00004888         0.55976250
        19         1.69351977         0.00005972         0.55832500
        20         1.69309095         0.00005877         0.55698750
