 Cycle        E        err_E       a_r
         1         1.68811252         0.00001119         0.54991600
         2         1.68872255         0.00000723         0.54918200
         3         1.68881924         0.00000977         0.54864600
         4         1.68894985         0.00001012         0.54826700
         5         1.68891683         0.00000327         0.54916000
         6         1.68888821         0.00000764         0.54821100
         7         1.68900398         0.00001063         0.54833700
         8         1.68886656         0.00000652         0.54835200
         9         1.68883816         0.00000630         0.54749900
        10         1.68895095         0.00000367         0.54901700
        11         1.68886642         0.00000623         0.54920700
        12         1.68874397         0.00000939         0.54894500
        13         1.68890262         0.00000807         0.54873200
        14         1.68889683         0.00000519         0.54844700
        15         1.68886719         0.00000556         0.54933600
        16         1.68891874         0.00000692         0.54861000
        17         1.68880966         0.00000712         0.54903700
        18         1.68876445         0.00000932         0.54979600
        19         1.68896261         0.00000725         0.54863200
        20         1.68874565         0.00000666         0.54865900
