 Cycle        E        err_E       a_r
         1         1.68858468         0.00000798         0.54130000
         2         1.68842703         0.00000915         0.54301250
         3         1.68857704         0.00001017         0.54152500
         4         1.68819926         0.00001298         0.54317500
         5         1.68839209         0.00001073         0.54212500
         6         1.68834088         0.00001044         0.54381250
         7         1.68834458         0.00001401         0.54233750
         8         1.68817622         0.00001077         0.53873750
         9         1.68817418         0.00001254         0.54333750
        10         1.68837404         0.00001245         0.54637500
        11         1.68832747         0.00001487         0.54468750
        12         1.68840465         0.00000708         0.54218750
        13         1.68830028         0.00000784         0.54225000
        14         1.68839054         0.00001160         0.54276250
        15         1.68828520         0.00000532         0.54145000
        16         1.68835207         0.00001347         0.54157500
        17         1.68841617         0.00001570         0.54350000
        18         1.68841764         0.00001294         0.54391250
        19         1.68835334         0.00001194         0.54198750
        20         1.68836582         0.00000717         0.54247500
