 Cycle        E        err_E       a_r
         1         1.68979677         0.00001002         0.53955500
         2         1.68911054         0.00000822         0.53909600
         3         1.68910761         0.00000777         0.53915700
         4         1.68915359         0.00001403         0.53774200
         5         1.68919452         0.00000750         0.53944500
         6         1.68909061         0.00000688         0.53877700
         7         1.68911707         0.00000884         0.53902200
         8         1.68897683         0.00000876         0.53871000
         9         1.68895748         0.00000428         0.53867800
        10         1.68899880         0.00002125         0.53870300
        11         1.68885154         0.00001727         0.53924800
        12         1.68887835         0.00001187         0.53819700
        13         1.68919985         0.00001022         0.53944500
        14         1.68919843         0.00000847         0.53939000
        15         1.68905342         0.00000421         0.53929900
        16         1.68891314         0.00000662         0.53696700
        17         1.68900285         0.00000779         0.53784300
        18         1.68900852         0.00000732         0.53866900
        19         1.68885372         0.00001145         0.53873700
        20         1.68900888         0.00001319         0.53872600
