 Cycle        E        err_E       a_r
         1         1.69574516         0.00006878         0.53185000
         2         1.69444891         0.00005704         0.53361250
         3         1.69369412         0.00005116         0.53528750
         4         1.69352600         0.00005995         0.53121250
         5         1.69326785         0.00004927         0.53430000
         6         1.69233609         0.00006708         0.53078750
         7         1.69127259         0.00007212         0.53360000
         8         1.69213971         0.00008058         0.53132500
         9         1.69272510         0.00005901         0.53345000
        10         1.69231381         0.00005057         0.53188750
        11         1.69143567         0.00010740         0.53376250
        12         1.69283754         0.00003814         0.52883750
        13         1.69300479         0.00002761         0.53301250
        14         1.69208924         0.00006029         0.53428750
        15         1.69228859         0.00004911         0.53360000
        16         1.69156837         0.00003012         0.53358750
        17         1.69183703         0.00003251         0.53348750
        18         1.69202519         0.00004444         0.53348750
        19         1.69369537         0.00007010         0.53488750
        20         1.69494270         0.00006264         0.53318750
