 Cycle        E        err_E       a_r
         1         1.69069692         0.00001647         0.53619100
         2         1.69019250         0.00001546         0.53572400
         3         1.68985729         0.00001185         0.53558700
         4         1.69003961         0.00001253         0.53614800
         5         1.69012105         0.00001340         0.53600800
         6         1.69029713         0.00000853         0.53474200
         7         1.69005360         0.00001722         0.53590300
         8         1.69002558         0.00000804         0.53573400
         9         1.69002273         0.00001624         0.53501600
        10         1.68988169         0.00001324         0.53629500
        11         1.69005002         0.00001669         0.53595600
        12         1.68997110         0.00001409         0.53519400
        13         1.68958456         0.00001752         0.53680700
        14         1.69000075         0.00001499         0.53474100
        15         1.69018288         0.00000989         0.53618600
        16         1.68988070         0.00001819         0.53586100
        17         1.68979044         0.00000891         0.53613400
        18         1.69004922         0.00000866         0.53570600
        19         1.68962852         0.00001092         0.53567300
        20         1.68979695         0.00001639         0.53555600
