 Cycle        E        err_E       a_r
         1         1.68347027         0.00012048         0.56023750
         2         1.68929017         0.00004307         0.55872500
         3         1.69108404         0.00008424         0.55502500
         4         1.69092948         0.00005838         0.55643750
         5         1.69153347         0.00004392         0.55883750
         6         1.69052867         0.00004645         0.55553750
         7         1.69069545         0.00003278         0.55593750
         8         1.69032807         0.00005426         0.55637500
         9         1.69086585         0.00005240         0.55580000
        10         1.69067546         0.00002996         0.56022500
        11         1.69084347         0.00006995         0.55382500
        12         1.69110637         0.00004795         0.55516250
        13         1.69051646         0.00004250         0.55751250
        14         1.69120775         0.00004163         0.55601250
        15         1.69216847         0.00004312         0.55408750
        16         1.69179400         0.00006177         0.55552500
        17         1.69213872         0.00003269         0.55596250
        18         1.69203837         0.00008368         0.55771250
        19         1.69124162         0.00007527         0.55406250
        20         1.69123692         0.00005738         0.55785000
