 Cycle        E        err_E       a_r
         1         1.68812667         0.00000489         0.54557000
         2         1.68833267         0.00000298         0.54550500
         3         1.68836012         0.00000592         0.54479500
         4         1.68838416         0.00000404         0.54515500
         5         1.68836362         0.00000500         0.54555100
         6         1.68844733         0.00000416         0.54589600
         7         1.68843102         0.00000405         0.54458100
         8         1.68846697         0.00000363         0.54613600
         9         1.68842852         0.00000529         0.54512500
        10         1.68844107         0.00000618         0.54569900
        11         1.68825260         0.00000399         0.54461500
        12         1.68845029         0.00000464         0.54586500
        13         1.68849951         0.00000483         0.54543000
        14         1.68846071         0.00001252         0.54558600
        15         1.68837948         0.00000407         0.54480900
        16         1.68850570         0.00000517         0.54478100
        17         1.68832377         0.00000315         0.54628600
        18         1.68831964         0.00000424         0.54580900
        19         1.68838926         0.00000303         0.54594800
        20         1.68842984         0.00000556         0.54564400
