 Cycle        E        err_E       a_r
         1         1.69030351         0.00001211         0.53735900
         2         1.68947761         0.00001434         0.53772400
         3         1.68956052         0.00001175         0.53678200
         4         1.68977077         0.00000930         0.53788600
         5         1.68978186         0.00000392         0.53576600
         6         1.68979503         0.00001114         0.53595100
         7         1.68977263         0.00001039         0.53714600
         8         1.68965629         0.00001665         0.53670200
         9         1.68925062         0.00000723         0.53681300
        10         1.68938826         0.00000962         0.53662800
        11         1.68957975         0.00001290         0.53673600
        12         1.68940096         0.00001151         0.53738200
        13         1.68983687         0.00001273         0.53684800
        14         1.68953019         0.00001301         0.53766600
        15         1.68954990         0.00000846         0.53728200
        16         1.68952419         0.00000985         0.53722500
        17         1.68975055         0.00001412         0.53734900
        18         1.68954646         0.00001143         0.53655800
        19         1.68949960         0.00000690         0.53675700
        20         1.68948469         0.00000876         0.53674200
