 Cycle        E        err_E       a_r
         1         1.68940949         0.00000776         0.53919800
         2         1.68899640         0.00000897         0.53909800
         3         1.68884623         0.00000846         0.53915200
         4         1.68898538         0.00000936         0.54013400
         5         1.68892234         0.00000547         0.53852300
         6         1.68881525         0.00000569         0.53889600
         7         1.68884464         0.00000904         0.53932000
         8         1.68877139         0.00000647         0.53866900
         9         1.68882835         0.00000353         0.53901000
        10         1.68893717         0.00000898         0.53905300
        11         1.68883502         0.00000384         0.53898800
        12         1.68882106         0.00000961         0.53958500
        13         1.68885431         0.00000789         0.53966400
        14         1.68878553         0.00000764         0.53957800
        15         1.68891474         0.00000860         0.53971800
        16         1.68889550         0.00000391         0.53901200
        17         1.68872921         0.00001106         0.53784300
        18         1.68885500         0.00000670         0.53902200
        19         1.68894220         0.00000699         0.53893000
        20         1.68886771         0.00000809         0.53975500
