 Cycle        E        err_E       a_r
         1         1.68890413         0.00000567         0.54172800
         2         1.68858816         0.00000605         0.54256100
         3         1.68848379         0.00000822         0.54178300
         4         1.68860714         0.00000735         0.54123700
         5         1.68842048         0.00000516         0.54127500
         6         1.68846764         0.00000467         0.54189200
         7         1.68846644         0.00000306         0.54115900
         8         1.68854130         0.00000707         0.54239600
         9         1.68846725         0.00000601         0.54111600
        10         1.68855345         0.00000470         0.54199000
        11         1.68852400         0.00001002         0.54105600
        12         1.68876072         0.00000837         0.54101900
        13         1.68859680         0.00000446         0.54108100
        14         1.68855009         0.00000404         0.54123500
        15         1.68852663         0.00001627         0.54122600
        16         1.68852859         0.00000684         0.54079200
        17         1.68851147         0.00000757         0.54073400
        18         1.68860012         0.00000653         0.54131600
        19         1.68842735         0.00000882         0.54160200
        20         1.68854691         0.00000464         0.54209200
