 Cycle        E        err_E       a_r
         1         1.69154711         0.00001307         0.53518800
         2         1.69058914         0.00000817         0.53530500
         3         1.69065297         0.00001448         0.53494800
         4         1.69113697         0.00001706         0.53509200
         5         1.69074433         0.00001457         0.53467200
         6         1.69069419         0.00001810         0.53453100
         7         1.69074144         0.00001980         0.53434500
         8         1.69074014         0.00001036         0.53506100
         9         1.69035978         0.00001178         0.53460000
        10         1.69099376         0.00001938         0.53439500
        11         1.69114764         0.00001443         0.53534600
        12         1.69079074         0.00001208         0.53429400
        13         1.69096249         0.00001540         0.53455000
        14         1.69096814         0.00001397         0.53454100
        15         1.69067987         0.00001703         0.53453800
        16         1.69076151         0.00001076         0.53451200
        17         1.69098185         0.00001745         0.53463400
        18         1.69097956         0.00001553         0.53521200
        19         1.69090431         0.00001473         0.53402400
        20         1.69125869         0.00000963         0.53495100
