 Cycle        E        err_E       a_r
         1         1.68679123         0.00005349         0.55038750
         2         1.68907797         0.00002328         0.55195000
         3         1.68874887         0.00001784         0.54982500
         4         1.68857978         0.00002177         0.54920000
         5         1.68898888         0.00002796         0.54713750
         6         1.68900156         0.00003732         0.54908750
         7         1.68925791         0.00002592         0.55001250
         8         1.68931875         0.00002058         0.54643750
         9         1.68863476         0.00004054         0.55096250
        10         1.68959910         0.00004105         0.54540000
        11         1.68871027         0.00003404         0.54717500
        12         1.68842350         0.00002727         0.54985000
        13         1.68895487         0.00003034         0.54711250
        14         1.68857293         0.00002548         0.55153750
        15         1.68881789         0.00002304         0.54806250
        16         1.68881532         0.00002490         0.54781250
        17         1.68852982         0.00002517         0.55251250
        18         1.68865158         0.00002583         0.54922500
        19         1.68892768         0.00002411         0.54733750
        20         1.68923735         0.00003074         0.55182500
