 Cycle        E        err_E       a_r
         1         1.68935076         0.00002344         0.54493750
         2         1.68854718         0.00003544         0.54257500
         3         1.68868206         0.00002615         0.54161250
         4         1.68887556         0.00002394         0.54578750
         5         1.68901592         0.00002190         0.54062500
         6         1.68862763         0.00001060         0.54070000
         7         1.68880284         0.00002707         0.54067500
         8         1.68798323         0.00001877         0.54073750
         9         1.68819509         0.00002384         0.54293750
        10         1.68859699         0.00002422         0.54408750
        11         1.68834290         0.00002492         0.54365000
        12         1.68849288         0.00001346         0.54121250
        13         1.68863998         0.00002741         0.54487500
        14         1.68848602         0.00002453         0.54325000
        15         1.68859713         0.00001789         0.54126250
        16         1.68877155         0.00002317         0.54055000
        17         1.68898110         0.00002082         0.53717500
        18         1.68882012         0.00001571         0.54155000
        19         1.68872906         0.00002808         0.54338750
        20         1.68875466         0.00002091         0.54442500
