 Cycle        E        err_E       a_r
         1         1.68148340         0.00033550         0.57125000
         2         1.69538482         0.00011350         0.56415000
         3         1.69859015         0.00007266         0.56265000
         4         1.69919540         0.00005693         0.56558750
         5         1.70052899         0.00009744         0.56891250
         6         1.70035213         0.00008595         0.56665000
         7         1.70116339         0.00005858         0.56530000
         8         1.70126173         0.00006371         0.57022500
         9         1.69798163         0.00006635         0.56596250
        10         1.69882734         0.00009496         0.56661250
        11         1.69884081         0.00005792         0.56528750
        12         1.69976035         0.00007983         0.56660000
        13         1.70054440         0.00011281         0.56620000
        14         1.69827820         0.00007821         0.56357500
        15         1.69858195         0.00004236         0.56350000
        16         1.69986614         0.00007132         0.56505000
        17         1.69938912         0.00007299         0.56872500
        18         1.69941513         0.00013746         0.56775000
        19         1.69796801         0.00008494         0.56660000
        20         1.69899151         0.00003661         0.56705000
