 Cycle        E        err_E       a_r
         1         1.68883973         0.00000639         0.54115200
         2         1.68874228         0.00000723         0.54061800
         3         1.68862596         0.00000528         0.54043200
         4         1.68860729         0.00000633         0.53998400
         5         1.68858945         0.00000402         0.54027100
         6         1.68844026         0.00000481         0.53977400
         7         1.68856616         0.00000335         0.54060000
         8         1.68849281         0.00000468         0.54063300
         9         1.68863525         0.00000754         0.53989700
        10         1.68859265         0.00000595         0.54010400
        11         1.68858745         0.00000591         0.54033400
        12         1.68857505         0.00000438         0.53957600
        13         1.68871786         0.00000560         0.54099100
        14         1.68853659         0.00000469         0.54136700
        15         1.68847708         0.00000813         0.53994100
        16         1.68854497         0.00000610         0.54027100
        17         1.68844320         0.00000538         0.54051700
        18         1.68855779         0.00000587         0.54058400
        19         1.68862347         0.00000613         0.54061400
        20         1.68848147         0.00000390         0.54106600
