 Cycle        E        err_E       a_r
         1         1.69106666         0.00003135         0.54256250
         2         1.68984068         0.00001649         0.54138750
         3         1.68889337         0.00002574         0.54352500
         4         1.68902330         0.00002124         0.53976250
         5         1.68922189         0.00002918         0.54186250
         6         1.68905821         0.00001754         0.54041250
         7         1.68894155         0.00002981         0.54061250
         8         1.68970685         0.00002184         0.53935000
         9         1.68983972         0.00002462         0.54322500
        10         1.68933423         0.00003027         0.54128750
        11         1.68971262         0.00002511         0.54221250
        12         1.68940989         0.00003353         0.53985000
        13         1.68869523         0.00003313         0.54142500
        14         1.68937138         0.00003057         0.54401250
        15         1.68906601         0.00003574         0.53890000
        16         1.68910132         0.00003346         0.53958750
        17         1.68951368         0.00003245         0.54133750
        18         1.68937115         0.00004071         0.54157500
        19         1.68952120         0.00003170         0.54023750
        20         1.68918183         0.00001116         0.54012500
