 Cycle        E        err_E       a_r
         1         1.67875084         0.00028109         0.56547500
         2         1.69288570         0.00007060         0.56298750
         3         1.69621052         0.00009011         0.56310000
         4         1.69690993         0.00007255         0.56278750
         5         1.69507998         0.00005813         0.56227500
         6         1.69547849         0.00005900         0.56132500
         7         1.69692787         0.00011014         0.56283750
         8         1.69585678         0.00008407         0.56203750
         9         1.69688740         0.00004550         0.56020000
        10         1.69637139         0.00007195         0.56273750
        11         1.69770568         0.00005233         0.56238750
        12         1.69681871         0.00005872         0.56128750
        13         1.69482920         0.00009639         0.56413750
        14         1.69712157         0.00008140         0.56177500
        15         1.69634062         0.00009814         0.56243750
        16         1.69659252         0.00006940         0.56403750
        17         1.69608527         0.00007668         0.56333750
        18         1.69725495         0.00007471         0.56116250
        19         1.69605564         0.00008116         0.56197500
        20         1.69829231         0.00008100         0.56353750
