 Cycle        E        err_E       a_r
         1         1.68909084         0.00000853         0.54070000
         2         1.68869151         0.00000618         0.53975200
         3         1.68865848         0.00000873         0.54077600
         4         1.68877102         0.00000377         0.53948300
         5         1.68881981         0.00000716         0.54063000
         6         1.68876221         0.00000718         0.54065700
         7         1.68876747         0.00000603         0.54107600
         8         1.68874303         0.00000471         0.54006900
         9         1.68879107         0.00000689         0.53993500
        10         1.68866965         0.00000517         0.54039200
        11         1.68866780         0.00001132         0.54021100
        12         1.68875829         0.00000403         0.54044500
        13         1.68862542         0.00000697         0.54037400
        14         1.68859917         0.00000839         0.53995900
        15         1.68857556         0.00000935         0.53933600
        16         1.68857585         0.00000510         0.54017400
        17         1.68863013         0.00000513         0.53973200
        18         1.68877907         0.00000722         0.54049600
        19         1.68877062         0.00000553         0.53976600
        20         1.68867443         0.00000500         0.54029500
