 Step         Average_energy
         1        -3.07343722
         2        -2.73058277
         3        -2.67898235
         4        -2.59335994
         5        -2.41747469
         6        -2.33109343
         7        -2.31311599
         8        -2.24719139
         9        -2.23052668
        10        -2.21655892
