 Step         Average_energy
         1        -3.89553253
         2        -3.86647324
         3        -3.87237215
         4        -3.76995086
         5        -3.76627845
         6        -3.47227372
         7        -3.37747340
         8        -3.18688015
         9        -3.12763341
        10        -3.12197122
