 Step         Average_energy
         1        -2.21954684
         2        -1.97141913
         3        -1.92740909
         4        -1.85485925
         5        -1.84220980
         6        -1.81457527
         7        -1.77317531
         8        -1.76626115
         9        -1.33279295
        10        -1.25111134
